Time (UTC -07:00 M/d/yyyy h:mm:ss tt),Δ Prev trigger (ps),"Mean (A, Between rulers) (V)","Peak to peak (A, Between rulers) (V)","RMS ripple (A, Between rulers) (V)",Mean (D) (V),"RMS ripple (A, Between rulers) (V)"
4/2/2025 12:07:37 PM,27330691558242,0.002093294,0.0003247309,6.52452E-05,NaN,6.52452E-05
4/2/2025 12:08:04 PM,27344773816227,0.002095691,0.0003889432,7.484994E-05,NaN,7.484994E-05
4/2/2025 12:08:32 PM,27340277340702,0.002168611,0.0004332804,8.70002E-05,NaN,8.70002E-05
4/2/2025 12:08:59 PM,27322712449383,0.00222375,0.0003675392,8.342431E-05,NaN,8.342431E-05
4/2/2025 12:09:26 PM,27343279680114,0.002259222,0.0003968934,7.354992E-05,NaN,7.354992E-05
4/2/2025 12:09:54 PM,27327168732948,0.002321714,0.0003718201,7.866608E-05,NaN,7.866608E-05
4/2/2025 12:10:21 PM,27358839997428,0.00229574,0.0003519447,7.700047E-05,NaN,7.700047E-05
4/2/2025 12:10:48 PM,27333323126823,0.002369805,0.0004060664,9.213606E-05,NaN,9.213606E-05
4/2/2025 12:11:16 PM,27469443247353,0.002358532,0.0003412426,6.953262E-05,NaN,6.953262E-05
4/2/2025 12:11:43 PM,27375045395700,0.002336102,0.0003871087,7.158935E-05,NaN,7.158935E-05
4/2/2025 12:12:11 PM,27352532874105,0.002357159,0.0003403253,7.129761E-05,NaN,7.129761E-05
4/2/2025 12:12:38 PM,27343281689712,0.002315762,0.0003507216,6.828884E-05,NaN,6.828884E-05
4/2/2025 12:13:05 PM,27403711306371,0.002345029,0.0003568372,7.930612E-05,NaN,7.930612E-05
4/2/2025 12:13:33 PM,27411350793168,0.002359017,0.0003739602,8.141153E-05,NaN,8.141153E-05
4/2/2025 12:14:00 PM,27307010455410,0.00228218,0.0003222849,6.589147E-05,NaN,6.589147E-05
4/2/2025 12:14:28 PM,27342659719131,0.002312915,0.0003785468,8.133693E-05,NaN,8.133693E-05
4/2/2025 12:14:55 PM,27329883699846,0.002298695,0.0004164628,7.605994E-05,NaN,7.605994E-05
4/2/2025 12:15:22 PM,27348900525720,0.002433137,0.0003559198,7.758408E-05,NaN,7.758408E-05
4/2/2025 12:15:50 PM,27377647825110,0.002373708,0.0003510274,7.79574E-05,NaN,7.79574E-05
4/2/2025 12:16:17 PM,27560576507055,0.002492059,0.0003418543,7.570699E-05,NaN,7.570699E-05
4/2/2025 12:16:45 PM,27392196309831,0.002506253,0.0003877201,7.794291E-05,NaN,7.794291E-05
4/2/2025 12:17:12 PM,27367489307220,0.002436263,0.0003883317,7.653947E-05,NaN,7.653947E-05
4/2/2025 12:17:39 PM,27323243988054,0.002442372,0.0003846623,7.730976E-05,NaN,7.730976E-05
4/2/2025 12:18:07 PM,27426659910732,0.002406949,0.00035011,7.392083E-05,NaN,7.392083E-05
4/2/2025 12:18:34 PM,27355357364094,0.002440644,0.0003812988,7.877992E-05,NaN,7.877992E-05
4/2/2025 12:19:01 PM,27374987117358,0.00250894,0.0004011742,8.139914E-05,NaN,8.139914E-05
4/2/2025 12:19:29 PM,27321303721185,0.002567272,0.0003400196,7.501192E-05,NaN,7.501192E-05
4/2/2025 12:19:56 PM,27400372359294,0.002592128,0.0003684564,8.036123E-05,NaN,8.036123E-05
4/2/2025 12:20:23 PM,27321935739756,0.002725509,0.0003357388,7.335601E-05,NaN,7.335601E-05
4/2/2025 12:20:51 PM,27470717332485,0.002784634,0.000377018,8.238914E-05,NaN,8.238914E-05
4/2/2025 12:21:18 PM,27306513079905,0.002910763,0.0003543908,7.541242E-05,NaN,7.541242E-05
4/2/2025 12:21:46 PM,27380015131554,0.002966353,0.0003904721,8.064206E-05,NaN,8.064206E-05
4/2/2025 12:22:13 PM,27370166091756,0.003057527,0.0004268591,8.937316E-05,NaN,8.937316E-05
4/2/2025 12:22:40 PM,27347917832298,0.003179921,0.0003990338,8.895521E-05,NaN,8.895521E-05
4/2/2025 12:23:08 PM,27386175554223,0.003164441,0.000369068,8.017372E-05,NaN,8.017372E-05
4/2/2025 12:23:35 PM,27367701319809,0.003301237,0.0003892491,8.800273E-05,NaN,8.800273E-05
4/2/2025 12:24:02 PM,27289983131556,0.003593716,0.0004045379,8.552366E-05,NaN,8.552366E-05
4/2/2025 12:24:30 PM,27476231669397,0.00377134,0.0004167685,9.216367E-05,NaN,9.216367E-05
4/2/2025 12:24:57 PM,27315327176733,0.004018984,0.0004311397,9.840246E-05,NaN,9.840246E-05
4/2/2025 12:25:24 PM,27363249055440,0.004242401,0.0004231897,9.177678E-05,NaN,9.177678E-05
4/2/2025 12:25:52 PM,27316495757970,0.004466534,0.0004268591,9.191715E-05,NaN,9.191715E-05
4/2/2025 12:26:19 PM,27396745034904,0.004648436,0.0004815925,8.908062E-05,NaN,8.908062E-05
4/2/2025 12:26:47 PM,27320523997161,0.004945034,0.0005008564,9.8909E-05,NaN,9.8909E-05
4/2/2025 12:27:14 PM,27355805504448,0.005166676,0.000519508,9.802147E-05,NaN,9.802147E-05
4/2/2025 12:27:41 PM,27505871230299,0.005497707,0.000532351,0.0001045069,NaN,0.0001045069
4/2/2025 12:28:09 PM,27339082634691,0.005726154,0.0004647747,9.453324E-05,NaN,9.453324E-05
4/2/2025 12:28:36 PM,27356182304073,0.006092945,0.0004170742,8.736506E-05,NaN,8.736506E-05
4/2/2025 12:29:03 PM,27363523365567,0.006210605,0.0004351153,9.699161E-05,NaN,9.699161E-05
4/2/2025 12:29:31 PM,27376147660203,0.006518029,0.0004390902,9.33448E-05,NaN,9.33448E-05
4/2/2025 12:29:58 PM,27427224607770,0.006723701,0.0004482633,9.116314E-05,NaN,9.116314E-05
4/2/2025 12:30:26 PM,27369680773839,0.007041143,0.0004387842,9.464334E-05,NaN,9.464334E-05
4/2/2025 12:30:53 PM,27374639456904,0.007227856,0.0004696674,8.651929E-05,NaN,8.651929E-05
4/2/2025 12:31:20 PM,27429971728236,0.00747625,0.0004507094,9.47052E-05,NaN,9.47052E-05
4/2/2025 12:31:48 PM,27340091452887,0.007699218,0.0003996454,8.316885E-05,NaN,8.316885E-05
4/2/2025 12:32:15 PM,27335693447664,0.007874008,0.0003439942,7.495077E-05,NaN,7.495077E-05
4/2/2025 12:32:43 PM,27447102546387,0.008177778,0.0003577545,7.758578E-05,NaN,7.758578E-05
4/2/2025 12:33:10 PM,27307806256218,0.00834371,0.0003519449,7.076588E-05,NaN,7.076588E-05
4/2/2025 12:33:37 PM,27395120274921,0.008478791,0.0003235079,6.751627E-05,NaN,6.751627E-05
4/2/2025 12:34:05 PM,27368534298180,0.008570592,0.0003516395,6.603787E-05,NaN,6.603787E-05
4/2/2025 12:34:32 PM,27421181746584,0.008629921,0.0003131116,6.718901E-05,NaN,6.718901E-05
4/2/2025 12:34:59 PM,27390203793414,0.008686983,0.0003265655,6.493514E-05,NaN,6.493514E-05
4/2/2025 12:35:27 PM,27323089249008,0.008658442,0.0002886504,4.891894E-05,NaN,4.891894E-05
4/2/2025 12:35:54 PM,27420566809596,0.008701124,0.0002678577,4.982419E-05,NaN,4.982419E-05
4/2/2025 12:36:22 PM,27354864007785,0.008629794,0.0002776422,4.441921E-05,NaN,4.441921E-05
4/2/2025 12:36:49 PM,27372305308827,0.00850959,0.0002849801,4.642056E-05,NaN,4.642056E-05
4/2/2025 12:37:16 PM,27383303838681,0.008384593,0.0002278006,3.546929E-05,NaN,3.546929E-05
4/2/2025 12:37:44 PM,27389045260167,0.008261963,0.0002131239,3.095355E-05,NaN,3.095355E-05
4/2/2025 12:38:11 PM,27351989277846,0.007991767,0.0002222974,2.940334E-05,NaN,2.940334E-05
4/2/2025 12:38:38 PM,27332130430410,0.007783735,0.0002063974,2.669702E-05,NaN,2.669702E-05
4/2/2025 12:39:06 PM,27358046206218,0.00759372,0.0002565435,2.861302E-05,NaN,2.861302E-05
4/2/2025 12:39:33 PM,27317983865289,0.00736856,0.0001770426,2.352838E-05,NaN,2.352838E-05
4/2/2025 12:41:30 PM,116920380041241,0.006244392,0.0002308586,2.88603E-05,NaN,2.88603E-05
4/2/2025 12:41:57 PM,27322285409808,0.006017355,0.000202422,2.967152E-05,NaN,2.967152E-05
4/2/2025 12:42:25 PM,27409073918634,0.00587956,0.0001904964,2.729947E-05,NaN,2.729947E-05
4/2/2025 12:42:52 PM,27291447123699,0.005642592,0.0002085371,2.576116E-05,NaN,2.576116E-05
4/2/2025 12:43:19 PM,27338077835691,0.005411936,0.0002895668,3.425635E-05,NaN,3.425635E-05
4/2/2025 12:43:47 PM,27404051933232,0.005212125,0.0001920257,2.601421E-05,NaN,2.601421E-05
4/2/2025 12:44:14 PM,27338080850088,0.005056573,0.0002021156,2.634005E-05,NaN,2.634005E-05
4/2/2025 12:44:41 PM,27387910842096,0.00491556,0.0002424782,3.468315E-05,NaN,3.468315E-05
4/2/2025 12:45:09 PM,27375061472484,0.004706949,0.0002271896,3.1968E-05,NaN,3.1968E-05
4/2/2025 12:45:36 PM,27405181327308,0.004531786,0.000212512,2.858814E-05,NaN,2.858814E-05
4/2/2025 12:46:04 PM,27362031239052,0.004420907,0.0002455357,3.602961E-05,NaN,3.602961E-05
4/2/2025 12:46:31 PM,27326056420455,0.004273718,0.0002412549,3.44424E-05,NaN,3.44424E-05
4/2/2025 12:46:58 PM,27326481450432,0.004190865,0.0002253549,3.454884E-05,NaN,3.454884E-05
4/2/2025 12:47:26 PM,27356652550005,0.004113629,0.0001874389,2.997916E-05,NaN,2.997916E-05
4/2/2025 12:47:53 PM,27372517321416,0.004052606,0.0002458412,4.002969E-05,NaN,4.002969E-05
4/2/2025 12:48:20 PM,27401866495407,0.003962541,0.0003225906,4.759193E-05,NaN,4.759193E-05
4/2/2025 12:48:48 PM,27402580907496,0.003929078,0.0003155579,5.203404E-05,NaN,5.203404E-05
4/2/2025 12:49:15 PM,27368037927474,0.003883793,0.00027703,4.777035E-05,NaN,4.777035E-05
4/2/2025 12:49:42 PM,27366952744554,0.003894007,0.0002969056,5.150679E-05,NaN,5.150679E-05
4/2/2025 12:50:10 PM,27333352265994,0.00383561,0.0003134173,6.449829E-05,NaN,6.449829E-05
4/2/2025 12:50:37 PM,27367896250815,0.00390068,0.0002730552,5.094968E-05,NaN,5.094968E-05
4/2/2025 12:51:05 PM,27357312702948,0.003869836,0.0002907901,5.53546E-05,NaN,5.53546E-05
4/2/2025 12:51:32 PM,27452872102245,0.003920686,0.0003106652,6.22653E-05,NaN,6.22653E-05
4/2/2025 12:51:59 PM,27403003927875,0.004046845,0.0003767121,7.097162E-05,NaN,7.097162E-05
4/2/2025 12:52:27 PM,27385283292711,0.004095207,0.0003384906,6.968075E-05,NaN,6.968075E-05
4/2/2025 12:52:54 PM,27385159702434,0.004140333,0.0003424659,6.926627E-05,NaN,6.926627E-05
