Time (UTC -08:00 M/d/yyyy h:mm:ss tt),Δ Prev trigger (ps),"Mean (A, Between rulers) (V)","Peak to peak (A, Between rulers) (V)","RMS ripple (A, Between rulers) (V)",Mean (D) (V),"RMS ripple (A, Between rulers) (V)"
2/3/2025 4:24:13 PM,38729051573827,-0.00229008,0.003679061,0.0004940975,NaN,0.0004940975
2/3/2025 4:24:42 PM,28887703241918,-0.002992374,0.003091977,0.0004033366,NaN,0.0004033366
2/3/2025 4:25:11 PM,28925579571613,-0.001794274,0.004324853,0.0007565119,NaN,0.0007565119
2/3/2025 4:25:40 PM,28945441162461,-0.002355268,0.002837573,0.0003543528,NaN,0.0003543528
2/3/2025 4:26:09 PM,28912950838831,-0.002637299,0.003052838,0.0003547795,NaN,0.0003547795
2/3/2025 4:26:38 PM,28906824631946,-0.003280265,0.002798435,0.0003650803,NaN,0.0003650803
2/3/2025 4:27:07 PM,28952815634109,-0.001846035,0.00334638,0.0004586233,NaN,0.0004586233
2/3/2025 4:27:36 PM,28876465053017,-0.001744645,0.002661448,0.0003473406,NaN,0.0003473406
2/3/2025 4:28:04 PM,28916945905853,-0.001994205,0.002837574,0.0003509505,NaN,0.0003509505
2/3/2025 4:28:33 PM,28854467309988,-0.002065532,0.003170254,0.0003556767,NaN,0.0003556767
2/3/2025 4:29:02 PM,28922070429063,-0.002390644,0.002681018,0.0003476703,NaN,0.0003476703
2/3/2025 4:29:31 PM,28896456215405,-0.002210714,0.003581213,0.0004929773,NaN,0.0004929773
2/3/2025 4:30:00 PM,28940695765993,-0.001465604,0.003913894,0.00059406,NaN,0.00059406
2/3/2025 4:30:29 PM,28936195983506,-0.001143701,0.004031311,0.0005724753,NaN,0.0005724753
2/3/2025 4:30:58 PM,28943190402901,-0.001782049,0.002759296,0.000354824,NaN,0.000354824
2/3/2025 4:31:27 PM,28966689522353,0.0002559017,0.003287671,0.0004222921,NaN,0.0004222921
2/3/2025 4:31:56 PM,28898207479798,-0.002127555,0.002681018,0.00035913,NaN,0.00035913
2/3/2025 4:32:25 PM,28929195106332,-0.001129357,0.003111546,0.0003576967,NaN,0.0003576967
2/3/2025 4:32:54 PM,28926076019873,-0.003674756,0.002837573,0.0003527289,NaN,0.0003527289
2/3/2025 4:33:23 PM,28862083121628,-0.0002284354,0.003385519,0.0003921775,NaN,0.0003921775
2/3/2025 4:33:51 PM,28939949658541,-0.001685224,0.002778865,0.0003540439,NaN,0.0003540439
2/3/2025 4:34:20 PM,28898328461764,-0.001472133,0.00297456,0.0003613152,NaN,0.0003613152
2/3/2025 4:34:49 PM,28937067877262,-0.001728952,0.002876712,0.0003558048,NaN,0.0003558048
2/3/2025 4:35:18 PM,28853217797345,-0.002357575,0.002915851,0.0003619528,NaN,0.0003619528
2/3/2025 4:35:47 PM,28905701633537,-0.001726149,0.002896282,0.0003551614,NaN,0.0003551614
2/3/2025 4:36:16 PM,28878332006285,-0.001974073,0.002915851,0.0003585922,NaN,0.0003585922
2/3/2025 4:36:45 PM,28971433504557,-0.002072122,0.002759296,0.0003470653,NaN,0.0003470653
2/3/2025 4:37:14 PM,28897211390785,-0.001637766,0.002622309,0.0003536204,NaN,0.0003536204
2/3/2025 4:37:43 PM,28893949453263,-0.001211849,0.003013699,0.0003631439,NaN,0.0003631439
2/3/2025 4:38:12 PM,28860716110684,-0.002202773,0.003542074,0.0004569987,NaN,0.0004569987
2/3/2025 4:38:40 PM,28891581611362,-0.003406989,0.003287671,0.0003609552,NaN,0.0003609552
2/3/2025 4:39:09 PM,28939068104114,-0.003107829,0.003502935,0.0004587129,NaN,0.0004587129
2/3/2025 4:39:38 PM,28899828569509,-0.001947218,0.003248532,0.0003512911,NaN,0.0003512911
2/3/2025 4:40:07 PM,28917327632345,3.403805E-05,0.002759296,0.0003485148,NaN,0.0003485148
2/3/2025 4:40:36 PM,28918197872660,-0.001515849,0.002778865,0.0003562946,NaN,0.0003562946
2/3/2025 4:41:05 PM,28897835975523,-0.00228778,0.002739726,0.0003582742,NaN,0.0003582742
2/3/2025 4:41:34 PM,28902945534572,-0.0025388,0.002759296,0.0003594375,NaN,0.0003594375
2/3/2025 4:42:03 PM,28940190540977,-0.002154212,0.003091977,0.0003515843,NaN,0.0003515843
2/3/2025 4:42:32 PM,29013680211583,-0.000964091,0.002935421,0.0003610108,NaN,0.0003610108
