Time (UTC -07:00 M/d/yyyy h:mm:ss tt),Δ Prev trigger (ps),"Mean (A, Between rulers) (V)","Peak to peak (A, Between rulers) (V)","RMS ripple (A, Between rulers) (V)",Mean (D) (V),"RMS ripple (A, Between rulers) (V)"
4/2/2025 2:19:49 PM,27418088975262,0.005973797,0.0002253549,3.251106E-05,NaN,3.251106E-05
4/2/2025 2:20:16 PM,27426773453019,0.005975007,0.0002045617,2.771857E-05,NaN,2.771857E-05
4/2/2025 2:20:44 PM,27395377503465,0.006073153,0.0002115951,3.399555E-05,NaN,3.399555E-05
4/2/2025 2:21:11 PM,27533274108627,0.006057612,0.0002363627,3.66509E-05,NaN,3.66509E-05
4/2/2025 2:21:39 PM,27444276046800,0.006047648,0.0002305531,3.646272E-05,NaN,3.646272E-05
4/2/2025 2:22:06 PM,27461290308267,0.005962855,0.0002351394,3.699963E-05,NaN,3.699963E-05
4/2/2025 2:22:33 PM,27414558111576,0.005990638,0.0001938599,2.966314E-05,NaN,2.966314E-05
4/2/2025 2:23:01 PM,27456922447014,0.00592788,0.000202422,3.123047E-05,NaN,3.123047E-05
4/2/2025 2:23:28 PM,27422289035082,0.00600198,0.0001862156,2.628705E-05,NaN,2.628705E-05
4/2/2025 2:23:56 PM,27560577511854,0.006025535,0.0002207682,2.861915E-05,NaN,2.861915E-05
4/2/2025 2:24:23 PM,27449814498888,0.005915666,0.0002378915,4.122326E-05,NaN,4.122326E-05
4/2/2025 2:24:51 PM,27497935327797,0.006011161,0.0002360567,3.749125E-05,NaN,3.749125E-05
4/2/2025 2:25:18 PM,27518919550113,0.005979737,0.0002201567,3.641484E-05,NaN,3.641484E-05
4/2/2025 2:25:46 PM,27468552995439,0.006032235,0.0002158759,3.124357E-05,NaN,3.124357E-05
4/2/2025 2:26:13 PM,27445151226729,0.006000855,0.0002388088,3.533639E-05,NaN,3.533639E-05
4/2/2025 2:26:41 PM,27558233315787,0.006093555,0.0002207682,2.766243E-05,NaN,2.766243E-05
4/2/2025 2:27:08 PM,27453878910843,0.005943298,0.0002226029,3.057025E-05,NaN,3.057025E-05
4/2/2025 2:27:36 PM,27491330783970,0.006059964,0.0002042563,3.396369E-05,NaN,3.396369E-05
