Time (UTC -07:00 M/d/yyyy h:mm:ss tt),Δ Prev trigger (ps),"Mean (A, Between rulers) (V)","Peak to peak (A, Between rulers) (V)","RMS ripple (A, Between rulers) (V)",Mean (D) (V),"RMS ripple (A, Between rulers) (V)"
4/1/2025 6:08:48 PM,27281821149279,0.001763447,0.0006201077,9.259312E-05,-0.002755954,9.259312E-05
4/1/2025 6:09:16 PM,27230879849577,0.00257909,0.0004317516,6.066415E-05,-0.002755954,6.066415E-05
4/1/2025 6:09:43 PM,27278264160819,0.001331324,0.0006405944,8.910351E-05,-0.002755954,8.910351E-05
4/1/2025 6:10:10 PM,27259709542485,0.001716696,0.0005066659,6.456914E-05,-0.002755954,6.456914E-05
4/1/2025 6:10:37 PM,27248556273585,0.000576937,0.0005491683,8.959556E-05,-0.002755954,8.959556E-05
4/1/2025 6:11:05 PM,27179041264368,0.0008161285,0.0007977618,0.0001400963,-0.002755954,0.0001400963
4/1/2025 6:11:32 PM,27272061536592,0.000732273,0.0006323386,0.0001093996,-0.002755954,0.0001093996
4/1/2025 6:11:59 PM,27342047796540,0.000936259,0.0004598825,5.418506E-05,-0.002755954,5.418506E-05
4/1/2025 6:12:27 PM,27268996899642,0.001367154,0.0006155211,6.527134E-05,-0.002755954,6.527134E-05
4/1/2025 6:12:54 PM,27268445264991,0.0009478833,0.0004439824,5.752927E-05,-0.002755954,5.752927E-05
4/1/2025 6:13:21 PM,27277600993479,0.0005744117,0.0005687377,8.157252E-05,-0.002755954,8.157252E-05
4/1/2025 6:13:48 PM,27288623638509,0.0007727101,0.0006210249,9.583532E-05,-0.002755954,9.583532E-05
4/1/2025 6:14:16 PM,27298310905668,0.0008036793,0.0006363137,0.0001010944,-0.002755954,0.0001010944
4/1/2025 6:14:43 PM,27327851996268,3.768089E-05,0.0006583293,8.829687E-05,-0.002755954,8.829687E-05
4/1/2025 6:15:10 PM,27271703828148,-0.0003755912,0.0004614115,5.377883E-05,-0.002755954,5.377883E-05
4/1/2025 6:15:37 PM,27221486988525,0.0007676213,0.0007424168,0.0001171146,-0.002755954,0.0001171146
4/1/2025 6:16:05 PM,27269131542708,0.001277889,0.000532045,7.975059E-05,-0.002755954,7.975059E-05
4/1/2025 6:16:32 PM,27244987227537,0.001001056,0.0006347848,0.0001192916,-0.002755954,0.0001192916
4/1/2025 6:16:59 PM,27278027028255,0.0005355658,0.000491683,5.78586E-05,-0.002755954,5.78586E-05
4/1/2025 6:17:27 PM,27262265751141,0.001100332,0.000625,9.008872E-05,-0.002755954,9.008872E-05
4/1/2025 6:17:54 PM,27266240735985,-0.0002734919,0.0004589653,5.782886E-05,-0.002755954,5.782886E-05
4/1/2025 6:18:21 PM,27259969785426,-0.001686899,0.0004620231,6.045954E-05,-0.002755954,6.045954E-05
4/1/2025 6:18:48 PM,27228658238988,-0.0004672253,0.0004996331,6.574187E-05,-0.002755954,6.574187E-05
4/1/2025 6:19:16 PM,27348149940867,-0.0002376482,0.0004155455,5.74034E-05,-0.002755954,5.74034E-05
4/1/2025 6:19:43 PM,27254990001582,-0.001660011,0.000553755,7.682604E-05,-0.002755954,7.682604E-05
4/1/2025 6:20:10 PM,27254151999216,-0.000731257,0.0006008439,7.3758E-05,-0.002755954,7.3758E-05
4/1/2025 6:20:37 PM,27257409557574,-0.0002771098,0.0005938112,7.181473E-05,-0.002755954,7.181473E-05
4/1/2025 6:21:05 PM,27253281843282,0.0004281829,0.0005299046,7.987708E-05,-0.002755954,7.987708E-05
4/1/2025 6:21:32 PM,27258887616903,-0.0001873068,0.0006054305,0.0001096954,-0.002755954,0.0001096954
4/1/2025 6:21:59 PM,27334065673284,0.0001427064,0.0006959394,0.000100591,-0.002755954,0.000100591
4/1/2025 6:22:26 PM,27230105149548,-0.0005833453,0.0004568249,6.436829E-05,-0.002755954,6.436827E-05
4/1/2025 6:22:54 PM,27230522141133,-0.0009394066,0.0008665607,0.0001717664,-0.002755954,0.0001717664
4/1/2025 6:23:21 PM,27253335097629,-0.0007781466,0.001238075,0.0002598255,-0.002755954,0.0002598255
4/1/2025 6:23:48 PM,27240446540856,-0.0002896652,0.0005516145,6.384143E-05,-0.002755954,6.384143E-05
4/1/2025 6:24:15 PM,27266152313673,0.0002366167,0.0006014555,9.696063E-05,-0.002755954,9.696063E-05
4/1/2025 6:24:43 PM,27369804364116,-0.0007144673,0.0008072408,0.0001506387,-0.002755954,0.0001506387
4/1/2025 6:25:10 PM,27320286864597,-0.0004131458,0.0004883194,7.830151E-05,-0.002755954,7.830151E-05
4/1/2025 6:25:37 PM,27200872532241,5.575511E-05,0.0005990093,6.470795E-05,-0.002755954,6.470795E-05
4/1/2025 6:26:05 PM,27222779160039,0.0003225196,0.0007717711,0.000147457,-0.002755954,0.000147457
4/1/2025 6:26:32 PM,27203215723509,-0.0004063704,0.000856776,0.0001659564,-0.002755954,0.0001659564
4/1/2025 6:26:59 PM,27341916167871,-0.001783893,0.0007372185,0.0001385826,-0.002755954,0.0001385826
4/1/2025 6:27:26 PM,27252933178029,-0.0002826891,0.0005604819,9.044378E-05,-0.002755954,9.044378E-05
4/1/2025 6:27:54 PM,27292155506994,-6.573368E-05,0.0005247064,7.188907E-05,-0.002755954,7.188907E-05
4/1/2025 6:28:21 PM,27349888243137,0.000648904,0.000903865,0.0002004112,-0.002755954,0.0002004112
4/1/2025 6:28:48 PM,27288337270794,0.0003255669,0.0007549536,0.0001564183,-0.002755954,0.0001564183
4/1/2025 6:29:16 PM,27248301054639,0.001207292,0.0004959638,7.899776E-05,-0.002755954,7.899776E-05
4/1/2025 6:29:43 PM,27251052194301,-0.0002960637,0.0007228474,0.0001349327,-0.002755954,0.0001349327
4/1/2025 6:30:10 PM,27256033987743,-0.0005273152,0.0006464042,0.0001171385,-0.002755954,0.0001171385
4/1/2025 6:30:37 PM,27211908239658,0.001198653,0.000681568,0.0001217115,-0.002755954,0.0001217115
4/1/2025 6:31:04 PM,27204064778664,-3.562085E-05,0.0007460861,0.0001449542,-0.002755954,0.0001449542
4/1/2025 6:31:32 PM,27298430476749,0.0003453407,0.0006473215,9.820711E-05,-0.002755954,9.820711E-05
4/1/2025 6:31:59 PM,27331664203674,0.0002446454,0.000414934,5.593032E-05,-0.002755954,5.593032E-05
4/1/2025 6:32:26 PM,27250860277692,0.001306936,0.0005369374,8.129402E-05,-0.002755954,8.129402E-05
4/1/2025 6:32:54 PM,27240931858773,0.001256171,0.0004971869,7.153865E-05,-0.002755954,7.153865E-05
4/1/2025 6:33:21 PM,27251783687973,-9.078829E-05,0.0008726761,0.0001631111,-0.002755954,0.0001631111
4/1/2025 6:33:48 PM,27308827132002,0.0004532748,0.0006986913,0.0001270211,-0.002755954,0.0001270211
4/1/2025 6:34:15 PM,27323189728908,0.0009942978,0.0004516267,6.442502E-05,-0.002755954,6.442502E-05
4/1/2025 6:34:43 PM,27237777794712,0.002131871,0.0008693128,0.0001666184,-0.002755954,0.0001666184
4/1/2025 6:35:10 PM,27283942279968,0.0008444671,0.000487708,6.218688E-05,-0.002755954,6.218688E-05
4/1/2025 6:35:37 PM,27352479619758,0.001965381,0.0007194838,0.0001375403,-0.002755954,0.0001375403
4/1/2025 6:36:05 PM,27233614912455,-0.000135508,0.0006152153,9.434629E-05,-0.002755954,9.434629E-05
4/1/2025 6:36:32 PM,27254998039974,-3.730295E-05,0.0005381604,7.136797E-05,-0.002755954,7.136797E-05
4/1/2025 6:36:59 PM,27261941201064,0.001839371,0.001017613,0.0001913019,-0.002755954,0.0001913019
4/1/2025 6:37:26 PM,27231649525611,0.0006310705,0.0005228719,6.237159E-05,-0.002755954,6.237159E-05
4/1/2025 6:37:54 PM,27273386866473,0.0008491124,0.0007466977,0.0001062297,-0.002755954,0.0001062297
4/1/2025 6:38:21 PM,27351845591589,0.001039518,0.00106623,0.0002510204,-0.002755954,0.0002510204
4/1/2025 6:38:48 PM,27287967504762,0.00102967,0.0004959638,7.094011E-05,-0.002755954,7.094011E-05
4/1/2025 6:39:15 PM,27236106813975,0.00155566,0.0006240827,7.080758E-05,-0.002755954,7.080758E-05
4/1/2025 6:39:43 PM,27241816081893,0.0004752338,0.0004818982,6.3568E-05,-0.002755954,6.3568E-05
4/1/2025 6:40:10 PM,27255967671009,0.00190325,0.0005103352,6.165431E-05,-0.002755954,6.165431E-05
4/1/2025 6:40:37 PM,27250207158342,0.001947055,0.0004439823,5.709746E-05,-0.002755954,5.709746E-05
4/1/2025 6:41:04 PM,27246049300080,-0.0002475219,0.0004818983,6.120076E-05,-0.002755954,6.120076E-05
4/1/2025 6:41:32 PM,27271152193497,0.001130411,0.0007255993,0.0001390341,-0.002755954,0.0001390341
4/1/2025 6:41:59 PM,27303407246196,0.002125129,0.0004773118,5.763262E-05,-0.002755954,5.763262E-05
4/1/2025 6:42:26 PM,27295826037741,-0.000134636,0.000478229,6.13218E-05,-0.002755954,6.13218E-05
4/1/2025 6:42:54 PM,27341875975911,7.006477E-05,0.0005873899,9.510089E-05,-0.002755954,9.510089E-05
4/1/2025 6:43:21 PM,27250171990377,0.0006238988,0.0005228719,6.136036E-05,-0.002755954,6.136036E-05
4/1/2025 6:43:48 PM,27257464821519,0.001047773,0.000545499,6.782939E-05,-0.002755954,6.782939E-05
4/1/2025 6:44:15 PM,27254636312334,0.001782867,0.0005176737,6.752683E-05,-0.002755954,6.752683E-05
4/1/2025 6:44:43 PM,27258510817278,0.0004644594,0.0004556018,5.851479E-05,-0.002755954,5.851479E-05
4/1/2025 6:45:10 PM,27266123174502,-0.0003013799,0.001071123,0.0002060801,-0.002755954,0.0002060801
4/1/2025 6:45:37 PM,27354116437329,0.001154064,0.0005880015,7.219856E-05,-0.002755954,7.219856E-05
4/1/2025 6:46:05 PM,27325562059347,-0.0008397389,0.0008552471,0.0001888239,-0.002755954,0.0001888239
4/1/2025 6:46:32 PM,27231393301866,0.0008806231,0.000538772,8.151802E-05,-0.002755954,8.151802E-05
4/1/2025 6:46:59 PM,27239748205551,0.000535522,0.0006607755,0.0001030117,-0.002755954,0.0001030117
4/1/2025 6:47:26 PM,27219095566905,0.001137069,0.0006959394,0.00012336,-0.002755954,0.00012336
4/1/2025 6:47:54 PM,27272668435188,0.00157939,0.0005794398,8.456833E-05,-0.002755954,8.456833E-05
4/1/2025 6:48:21 PM,27225923176110,0.00105875,0.0005742417,6.183869E-05,-0.002755954,6.183869E-05
4/1/2025 6:48:48 PM,27310612659825,0.0001652766,0.0008503547,0.0001621951,-0.002755954,0.0001621951
4/1/2025 6:49:15 PM,27186231606012,0.0008051341,0.0009387231,0.0001615841,-0.002755954,0.0001615841
4/1/2025 6:49:43 PM,27277453288026,0.00134927,0.0009546233,0.0001840961,-0.002755954,0.0001840961
4/1/2025 6:50:10 PM,27419311815645,0.000231984,0.0005577299,8.836581E-05,-0.002755954,8.836581E-05
4/1/2025 6:50:37 PM,27284527072986,9.233549E-05,0.0004760885,6.302298E-05,-0.002755954,6.302298E-05
4/1/2025 6:51:05 PM,27288811535922,1.893758E-05,0.000615521,8.4512E-05,-0.002755954,8.4512E-05
4/1/2025 6:51:32 PM,27243825679893,0.0004475795,0.0005543664,7.262098E-05,-0.002755954,7.262098E-05
4/1/2025 6:51:59 PM,27234192671880,0.0005777567,0.0004464285,5.590705E-05,-0.002755954,5.590705E-05
4/1/2025 6:52:26 PM,27244339132182,0.00205081,0.0006332558,0.0001243427,-0.002755954,0.0001243427
4/1/2025 6:52:54 PM,27232141877121,-0.0006171966,0.0009515656,0.0001794982,-0.002755954,0.0001794982
4/1/2025 6:53:21 PM,27297274957899,0.0002717183,0.0008396527,0.0001603613,-0.002755954,0.0001603613
4/1/2025 6:53:48 PM,27392783112447,0.0008029966,0.0004785347,5.689217E-05,-0.002755954,5.689217E-05
4/1/2025 6:54:15 PM,27238917236778,0.0009189332,0.0005812744,6.511112E-05,-0.002755954,6.511112E-05
4/1/2025 6:54:43 PM,27232184078679,0.001224659,0.0005607877,8.919601E-05,-0.002755954,8.919601E-05
4/1/2025 6:55:10 PM,27295474358091,-0.000374653,0.0004867906,7.470664E-05,-0.002755954,7.470664E-05
4/1/2025 6:55:37 PM,27209349016605,-0.0008756616,0.0005029966,7.668303E-05,-0.002755954,7.668303E-05
4/1/2025 6:56:05 PM,27285469574448,0.0007036226,0.0004531556,5.563635E-05,-0.002755954,5.563635E-05
4/1/2025 6:56:32 PM,27312993028656,0.00042836,0.00056568,9.048441E-05,-0.002755954,9.048441E-05
4/1/2025 6:56:59 PM,27282101488200,0.001442417,0.0006785103,0.0001321978,-0.002755954,0.0001321978
4/1/2025 6:57:26 PM,27378892771071,0.0009028936,0.0007002202,0.0001360954,-0.002755954,0.0001360954
4/1/2025 6:57:54 PM,27251223010131,0.0002858399,0.0008313968,0.000168516,-0.002755954,0.000168516
4/1/2025 6:58:21 PM,27278674118811,0.002529013,0.000557424,7.280376E-05,-0.002755954,7.280376E-05
4/1/2025 6:58:48 PM,27268309617126,0.0001012481,0.0008885763,0.0001422117,-0.002755954,0.0001422117
4/1/2025 6:59:16 PM,27231192342066,-0.00136526,0.000522566,7.125096E-05,-0.002755954,7.125096E-05
4/1/2025 6:59:43 PM,27308907515922,-0.0003976084,0.00102862,0.0001975561,-0.002755954,0.0001975561
4/1/2025 7:00:10 PM,27281325783372,0.000518564,0.0005540607,9.112122E-05,-0.002755954,9.112122E-05
4/1/2025 7:00:37 PM,27305360575452,-0.0005158744,0.0007054183,0.0001148631,-0.002755954,0.0001148631
4/1/2025 7:01:05 PM,27225987483246,-0.0002582723,0.0005586473,6.870128E-05,-0.002755954,6.870128E-05
4/1/2025 7:01:32 PM,27268289521146,-0.0003004927,0.0005745474,6.664649E-05,-0.002755954,6.664649E-05
4/1/2025 7:01:59 PM,27219927540477,-0.001403108,0.0009310788,0.0001917369,-0.002755954,0.0001917369
