Start: 2025-04-04T13:10:23
ms	X1(V)	Y1(V)	I1(V)	X2(V)	Y2(V)	I2(V)	RX1(V)	RY1(V)	RX2(V)	RY2(V)
437937	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
437947	0.004	0.006	0.03	0.006	0.004	0.01	4.42	5.14	5.05	5.05
437957	0.006	0.008	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
437967	0.006	0.006	0.03	0.006	0.006	0.01	4.41	5.14	5.06	5.05
437972	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
438038	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.06	5.05
438048	0.004	0.004	0.03	0.004	0.004	0.01	4.42	5.14	5.05	5.05
438058	0.006	0.006	0.03	0.008	0.006	0.01	4.42	5.14	5.06	5.05
438068	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
438073	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.06	5.05
438087	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
438097	0.004	0.006	0.03	0.004	0.004	0.01	4.42	5.14	5.06	5.05
438107	0.006	0.008	0.03	0.006	0.006	0.01	4.42	5.14	5.06	5.06
438117	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.06	5.05
438127	0.006	0.006	0.03	0.006	0.004	0.01	4.41	5.14	5.06	5.05
438137	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
438147	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
438157	0.006	0.008	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
438162	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
438167	0.004	0.006	0.03	0.006	0.004	0.01	4.42	5.14	5.06	5.05
438172	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.06	5.05
438177	0.006	0.006	0.03	0.006	0.004	0.01	4.41	5.14	5.05	5.05
438182	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.06	5.05
438187	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
438192	0.004	0.006	0.03	0.006	0.006	0.01	4.42	5.13	5.06	5.05
438197	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.06	5.05
438202	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.06	5.05
438207	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
438212	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.13	5.05	5.05
438217	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.06	5.05
438222	0.006	0.006	0.03	0.006	0.006	0.01	4.41	5.14	5.06	5.05
438236	0.006	0.006	0.03	0.006	0.004	0.01	4.42	5.14	5.06	5.05
438246	0.006	0.008	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
438256	0.004	0.004	0.03	0.004	0.004	0.01	4.42	5.14	5.05	5.05
438266	0.006	0.006	0.03	0.006	0.006	0.01	4.41	5.13	5.05	5.05
438276	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
438286	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
438296	0.006	0.008	0.03	0.008	0.006	0.01	4.42	5.14	5.05	5.05
438301	0.004	0.004	0.03	0.004	0.004	0.01	4.42	5.14	5.05	5.05
438375	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
438385	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
438395	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
438405	0.006	0.008	0.04	0.006	0.006	0.01	4.41	5.14	5.05	5.05
438410	0.004	0.006	0.03	0.004	0.004	0.01	4.42	5.14	5.05	5.05
438436	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
438446	0.006	0.006	0.03	0.006	0.006	0.01	4.41	5.14	5.05	5.05
438456	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.13	5.05	5.05
438466	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
438476	0.004	0.004	0.03	0.004	0.004	0.01	4.42	5.14	5.05	5.05
438486	0.006	0.006	0.03	0.006	0.004	0.01	4.42	5.14	5.06	5.05
438496	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.13	5.05	5.05
438501	0.006	0.006	0.03	0.006	0.006	0.01	4.41	5.14	5.05	5.05
438506	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
438511	0.004	0.006	0.03	0.006	0.004	0.01	4.42	5.14	5.05	5.05
438516	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.05	5.05
438521	0.006	0.006	0.03	0.006	0.006	0.01	4.41	5.14	5.05	5.05
438532	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.13	5.05	5.05
438542	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
438552	0.004	0.006	0.03	0.006	0.004	0.01	4.42	5.14	5.05	5.05
438562	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.06	5.05
438572	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
438582	0.006	0.006	0.03	0.006	0.006	0.01	4.42	5.14	5.06	5.05
438587	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
438592	0.004	0.006	0.03	0.004	0.004	0.02	4.42	5.14	5.06	5.05
438602	0.006	0.008	0.03	0.008	0.006	0.02	4.42	5.14	5.06	5.05
438612	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.13	5.06	5.05
438622	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
438632	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
438642	0.004	0.006	0.03	0.004	0.004	0.02	4.42	5.14	5.06	5.05
438652	0.006	0.008	0.03	0.008	0.006	0.02	4.42	5.14	5.06	5.05
438662	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
438672	0.006	0.006	0.03	0.006	0.006	0.02	4.41	5.14	5.05	5.05
438677	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
438700	0.004	0.006	0.03	0.006	0.006	0.02	4.41	5.13	5.05	5.05
438710	0.006	0.008	0.03	0.008	0.006	0.02	4.42	5.14	5.05	5.05
438720	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
438730	0.006	0.006	0.03	0.006	0.004	0.02	4.41	5.14	5.05	5.05
438740	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
438750	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
438760	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
438765	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
438781	0.004	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
438791	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
438801	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
438811	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
438821	0.004	0.006	0.03	0.006	0.004	0.02	4.42	5.14	5.05	5.06
438831	0.006	0.006	0.03	0.006	0.004	0.02	4.42	5.14	5.06	5.05
438841	0.004	0.006	0.03	0.006	0.004	0.02	4.42	5.14	5.05	5.05
438851	0.006	0.006	0.03	0.006	0.004	0.02	4.42	5.14	5.05	5.05
438856	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
438861	0.004	0.006	0.03	0.006	0.004	0.02	4.42	5.14	5.06	5.05
438866	0.006	0.006	0.04	0.006	0.004	0.02	4.42	5.14	5.06	5.05
438871	0.004	0.006	0.03	0.006	0.004	0.02	4.42	5.13	5.05	5.05
438876	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
438890	0.006	0.008	0.04	0.008	0.006	0.02	4.42	5.14	5.06	5.05
438900	0.004	0.006	0.03	0.004	0.004	0.02	4.42	5.14	5.05	5.05
438910	0.006	0.006	0.03	0.006	0.006	0.02	4.41	5.14	5.06	5.05
438915	0.006	0.006	0.03	0.006	0.006	0.02	4.41	5.13	5.05	5.05
438920	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
438925	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
438930	0.004	0.006	0.03	0.004	0.004	0.02	4.42	5.14	5.05	5.05
438935	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
438940	0.006	0.006	0.03	0.006	0.006	0.02	4.41	5.14	5.05	5.05
438945	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
438950	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
438955	0.004	0.006	0.03	0.006	0.004	0.02	4.42	5.14	5.05	5.05
438960	0.006	0.006	0.03	0.006	0.006	0.02	4.41	5.14	5.05	5.05
438965	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
438995	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439005	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439015	0.004	0.006	0.03	0.006	0.004	0.02	4.42	5.14	5.06	5.05
439025	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439035	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
439045	0.006	0.006	0.03	0.006	0.006	0.02	4.41	5.14	5.06	5.05
439050	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439119	0.004	0.006	0.03	0.004	0.004	0.02	4.42	5.14	5.06	5.05
439129	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
439139	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439144	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439149	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
439154	0.004	0.004	0.03	0.004	0.004	0.02	4.42	5.14	5.05	5.05
439159	0.006	0.008	0.03	0.008	0.006	0.02	4.42	5.14	5.05	5.05
439164	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439169	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439174	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
439187	0.004	0.004	0.03	0.004	0.004	0.02	4.42	5.14	5.06	5.05
439192	0.006	0.006	0.03	0.008	0.006	0.02	4.42	5.14	5.05	5.05
439197	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439202	0.006	0.006	0.03	0.006	0.006	0.02	4.41	5.13	5.05	5.05
439207	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.13	5.05	5.05
439212	0.004	0.006	0.03	0.006	0.004	0.02	4.42	5.14	5.05	5.05
439217	0.006	0.008	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439222	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
439227	0.006	0.006	0.03	0.006	0.004	0.02	4.42	5.14	5.05	5.05
439232	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439237	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
439242	0.006	0.008	0.03	0.008	0.006	0.02	4.42	5.13	5.05	5.05
439300	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439310	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.06
439320	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439330	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.13	5.06	5.05
439335	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
439386	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439396	0.004	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439406	0.004	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439416	0.006	0.006	0.03	0.006	0.004	0.02	4.42	5.14	5.05	5.05
439421	0.006	0.008	0.03	0.006	0.006	0.02	4.41	5.14	5.05	5.05
439426	0.004	0.006	0.03	0.006	0.004	0.02	4.42	5.14	5.05	5.05
439431	0.004	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439441	0.004	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439451	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439461	0.006	0.008	0.03	0.008	0.006	0.02	4.42	5.14	5.05	5.05
439471	0.004	0.004	0.03	0.004	0.004	0.02	4.42	5.14	5.06	5.05
439481	0.004	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439491	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
439501	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439506	0.006	0.008	0.03	0.006	0.006	0.02	4.42	5.13	5.06	5.05
439527	0.004	0.004	0.03	0.004	0.004	0.02	4.41	5.14	5.05	5.05
439537	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439547	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439557	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439567	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439577	0.004	0.006	0.03	0.004	0.004	0.02	4.42	5.14	5.06	5.05
439587	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
439592	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439622	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439632	0.006	0.006	0.03	0.006	0.006	0.02	4.41	5.14	5.05	5.05
439642	0.004	0.006	0.03	0.006	0.004	0.02	4.42	5.13	5.05	5.05
439652	0.004	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439662	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439672	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439682	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.06
439692	0.004	0.006	0.03	0.006	0.004	0.02	4.42	5.14	5.05	5.05
439697	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439725	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439735	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439745	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
439755	0.004	0.004	0.03	0.006	0.004	0.02	4.42	5.14	5.05	5.05
439765	0.006	0.008	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439775	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439785	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
439790	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
439795	0.004	0.004	0.03	0.004	0.004	0.02	4.41	5.14	5.06	5.05
439800	0.006	0.008	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
439805	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439810	0.006	0.006	0.03	0.006	0.006	0.02	4.41	5.14	5.05	5.05
439815	0.006	0.006	0.03	0.006	0.006	0.02	4.41	5.14	5.05	5.05
439820	0.004	0.006	0.03	0.006	0.004	0.02	4.41	5.14	5.05	5.05
439825	0.006	0.008	0.03	0.008	0.006	0.02	4.42	5.14	5.05	5.05
439830	0.006	0.006	0.03	0.006	0.006	0.02	4.41	5.14	5.05	5.05
439835	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
439840	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
439845	0.006	0.006	0.03	0.006	0.006	0.02	4.41	5.14	5.06	5.05
439850	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439862	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.13	5.05	5.05
439872	0.004	0.006	0.03	0.006	0.004	0.02	4.42	5.14	5.06	5.05
439882	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.13	5.05	5.05
439892	0.006	0.006	0.04	0.006	0.004	0.02	4.42	5.14	5.05	5.05
439902	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
439912	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
439922	0.006	0.006	0.04	0.006	0.004	0.02	4.41	5.13	5.05	5.05
439927	0.004	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
439979	0.004	0.006	0.04	0.006	0.006	0.02	4.41	5.14	5.05	5.05
439989	0.006	0.008	0.04	0.006	0.004	0.02	4.42	5.14	5.05	5.05
439999	0.004	0.006	0.04	0.004	0.004	0.02	4.42	5.14	5.06	5.05
440009	0.006	0.006	0.04	0.006	0.004	0.02	4.42	5.14	5.06	5.05
440014	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440042	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440052	0.006	0.008	0.04	0.008	0.006	0.02	4.42	5.14	5.05	5.05
440062	0.004	0.006	0.04	0.004	0.004	0.02	4.42	5.14	5.06	5.05
440072	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440082	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440092	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
440102	0.006	0.008	0.05	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440112	0.006	0.006	0.04	0.004	0.003	0.02	4.42	5.14	5.05	5.05
440117	0.006	0.006	0.04	0.006	0.004	0.02	4.42	5.13	5.05	5.05
440154	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440164	0.006	0.006	0.04	0.006	0.006	0.02	4.41	5.14	5.05	5.05
440174	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440184	0.004	0.006	0.04	0.004	0.004	0.02	4.41	5.13	5.05	5.05
440194	0.006	0.006	0.04	0.006	0.006	0.03	4.42	5.14	5.06	5.05
440204	0.006	0.006	0.04	0.006	0.006	0.02	4.41	5.14	5.06	5.05
440214	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.13	5.06	5.05
440219	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440224	0.004	0.006	0.04	0.006	0.004	0.02	4.42	5.14	5.05	5.05
440229	0.006	0.006	0.04	0.006	0.004	0.02	4.42	5.14	5.05	5.05
440234	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440239	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
440244	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440249	0.004	0.006	0.04	0.006	0.004	0.02	4.42	5.14	5.05	5.05
440263	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
440273	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440283	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440293	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440303	0.004	0.006	0.04	0.004	0.004	0.02	4.42	5.14	5.06	5.05
440308	0.006	0.008	0.04	0.008	0.006	0.02	4.41	5.14	5.06	5.05
440321	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440331	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440341	0.006	0.006	0.04	0.006	0.006	0.02	4.41	5.13	5.06	5.05
440351	0.004	0.004	0.04	0.004	0.004	0.02	4.42	5.14	5.05	5.05
440361	0.006	0.008	0.04	0.008	0.006	0.03	4.42	5.14	5.05	5.05
440371	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
440381	0.004	0.006	0.04	0.006	0.004	0.02	4.42	5.14	5.05	5.05
440391	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
440396	0.004	0.006	0.04	0.006	0.004	0.02	4.42	5.14	5.06	5.05
440401	0.006	0.006	0.04	0.006	0.006	0.03	4.42	5.14	5.05	5.05
440406	0.006	0.006	0.04	0.006	0.006	0.02	4.41	5.14	5.06	5.05
440416	0.004	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
440426	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
440436	0.004	0.006	0.04	0.006	0.004	0.02	4.42	5.14	5.06	5.05
440446	0.006	0.008	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
440456	0.006	0.006	0.04	0.006	0.006	0.03	4.42	5.14	5.05	5.05
440466	0.006	0.006	0.04	0.006	0.004	0.02	4.42	5.14	5.06	5.05
440476	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
440481	0.004	0.006	0.04	0.006	0.004	0.02	4.42	5.14	5.05	5.05
440532	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440542	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440552	0.006	0.006	0.04	0.006	0.004	0.02	4.42	5.14	5.05	5.05
440562	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440572	0.006	0.006	0.04	0.006	0.004	0.02	4.41	5.13	5.06	5.05
440582	0.006	0.006	0.04	0.006	0.006	0.02	4.41	5.14	5.06	5.05
440592	0.004	0.006	0.04	0.006	0.004	0.02	4.41	5.14	5.06	5.05
440597	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
440635	0.004	0.006	0.04	0.006	0.004	0.02	4.41	5.14	5.05	5.05
440645	0.006	0.006	0.04	0.006	0.004	0.02	4.41	5.14	5.06	5.05
440655	0.006	0.008	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
440665	0.004	0.004	0.04	0.004	0.004	0.02	4.42	5.14	5.06	5.05
440675	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440685	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.06
440695	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440700	0.006	0.008	0.04	0.008	0.006	0.02	4.42	5.14	5.05	5.05
440705	0.004	0.004	0.04	0.004	0.004	0.02	4.42	5.14	5.05	5.05
440710	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440715	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
440720	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
440725	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
440737	0.004	0.004	0.04	0.004	0.004	0.02	4.42	5.14	5.05	5.06
440747	0.004	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
440757	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
440767	0.006	0.006	0.03	0.006	0.004	0.02	4.41	5.13	5.05	5.05
440777	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.13	5.06	5.05
440787	0.004	0.006	0.04	0.004	0.004	0.02	4.42	5.13	5.06	5.05
440797	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440802	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
440823	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
440833	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440843	0.004	0.006	0.04	0.006	0.004	0.02	4.42	5.14	5.06	5.05
440853	0.004	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440863	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440873	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440883	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440893	0.004	0.006	0.04	0.006	0.004	0.02	4.42	5.14	5.06	5.05
440903	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.13	5.06	5.05
440908	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440940	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440950	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440960	0.004	0.006	0.04	0.006	0.004	0.02	4.42	5.14	5.05	5.05
440970	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
440980	0.006	0.006	0.04	0.006	0.006	0.02	4.41	5.14	5.06	5.05
440990	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
441000	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
441010	0.004	0.006	0.04	0.004	0.004	0.02	4.42	5.14	5.06	5.05
441015	0.006	0.008	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
441020	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
441025	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
441030	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
441040	0.004	0.004	0.04	0.004	0.004	0.02	4.41	5.14	5.05	5.05
441050	0.006	0.008	0.04	0.008	0.006	0.02	4.42	5.14	5.05	5.05
441060	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
441070	0.004	0.006	0.04	0.006	0.004	0.02	4.42	5.14	5.06	5.05
441080	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
441090	0.004	0.006	0.03	0.004	0.004	0.02	4.41	5.14	5.05	5.05
441100	0.006	0.008	0.04	0.008	0.006	0.02	4.42	5.13	5.06	5.05
441105	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.05
441110	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.05	5.05
441115	0.006	0.006	0.03	0.006	0.006	0.02	4.42	5.14	5.06	5.05
441120	0.004	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
441125	0.006	0.008	0.03	0.008	0.006	0.02	4.42	5.14	5.06	5.05
441130	0.006	0.006	0.04	0.006	0.006	0.02	4.41	5.14	5.05	5.05
441135	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.05	5.05
441140	0.006	0.006	0.04	0.006	0.006	0.02	4.42	5.14	5.06	5.06
441145	0.006	0.006	0.03	0.006	0.004	0.02	4.41	5.13	5.05	5.05
441150	0.006	0.008	0.04	0.008	0.006	0.02	4.42	5.14	5.05	5.05
