Start: 2025-04-04T13:10:23
ms	X1(V)	Y1(V)	I1(V)	X2(V)	Y2(V)	I2(V)	RX1(V)	RY1(V)	RX2(V)	RY2(V)
707	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
717	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
727	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
737	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
747	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
757	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
767	0.006	0.006	0.04	0.006	0.006	0.02	4.39	5.13	5.05	5.05
772	0.006	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.06	5.05
823	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.06
833	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
843	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
853	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.06	5.05
858	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.06	5.05
863	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.06
868	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
879	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
889	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.05	5.05
899	0.004	0.006	0.03	0.004	0.004	0.02	4.39	5.13	5.05	5.05
909	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
919	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
929	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
939	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
944	0.004	0.004	0.03	0.004	0.004	0.02	4.39	5.13	5.05	5.05
966	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
976	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
986	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
996	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1006	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.06	5.05
1016	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1026	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1031	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.06
1054	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1064	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.05	5.05
1074	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1084	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1094	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1104	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1114	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.05	5.05
1119	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.06	5.05
1124	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1129	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1143	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1153	0.004	0.004	0.03	0.006	0.004	0.02	4.39	5.13	5.05	5.05
1163	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.05	5.05
1173	0.006	0.006	0.04	0.006	0.006	0.02	4.40	5.13	5.06	5.05
1183	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1193	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1203	0.004	0.006	0.03	0.004	0.004	0.02	4.39	5.13	5.05	5.05
1208	0.006	0.008	0.04	0.008	0.006	0.02	4.39	5.13	5.06	5.05
1230	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1240	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1250	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.06
1260	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1270	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.05	5.05
1280	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1290	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1295	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1308	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.06
1318	0.006	0.006	0.03	0.008	0.006	0.02	4.39	5.13	5.06	5.05
1328	0.006	0.006	0.03	0.006	0.006	0.03	4.39	5.13	5.05	5.05
1338	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1348	0.004	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1358	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1368	0.006	0.008	0.03	0.006	0.006	0.03	4.39	5.13	5.05	5.05
1378	0.004	0.006	0.03	0.004	0.004	0.02	4.39	5.13	5.05	5.05
1383	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1388	0.004	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1393	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1398	0.008	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.05	5.05
1403	0.004	0.006	0.03	0.004	0.004	0.02	4.39	5.13	5.06	5.06
1408	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1413	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1423	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1428	0.006	0.008	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1433	0.004	0.004	0.03	0.004	0.004	0.02	4.39	5.13	5.05	5.05
1438	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1443	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1448	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1453	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1458	0.004	0.004	0.03	0.006	0.004	0.02	4.39	5.13	5.06	5.05
1463	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1468	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1473	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1478	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1524	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.05	5.05
1534	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1544	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1554	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1559	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1633	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.06	5.06
1643	0.006	0.008	0.03	0.006	0.006	0.02	4.39	5.12	5.05	5.05
1648	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1653	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1658	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1670	0.004	0.004	0.03	0.004	0.004	0.02	4.39	5.13	5.06	5.05
1680	0.006	0.008	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1690	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1700	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1710	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1720	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.05	5.05
1730	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.05	5.05
1735	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1755	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1765	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1775	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1785	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.06	5.05
1795	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1805	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1815	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1820	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1825	0.006	0.008	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1830	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1840	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1850	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1860	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1870	0.006	0.006	0.04	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1880	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.05	5.05
1890	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1900	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1905	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
